t,delta,force,overlap,vel
5.88e-09,6.3003318879503e-07,1.16966231743414e-07,4.96681120496995e-09,-11.8703079144936
5.9e-09,6.29795803895276e-07,1.21044288650484e-07,5.20419610472392e-09,-11.8681450017077
5.92e-09,6.29558462994962e-07,1.25177041701194e-07,5.44153700503793e-09,-11.865907473456
5.94e-09,6.29321167596338e-07,1.29363727307556e-07,5.678832403662e-09,-11.8635943425788
5.96e-09,6.29083919221258e-07,1.33603604329071e-07,5.91608077874199e-09,-11.8612046355906
5.98e-09,6.28846719410914e-07,1.37895952785973e-07,6.15328058908598e-09,-11.8587373922835
6e-09,6.28609569725567e-07,1.42240072667091e-07,6.39043027443292e-09,-11.8561916653541
6.02e-09,6.283724717443e-07,1.46635282823695e-07,6.62752825569996e-09,-11.8535665200501
6.04e-09,6.28135427064765e-07,1.51080919941609e-07,6.86457293523492e-09,-11.8508610338369
6.06e-09,6.27898437302946e-07,1.55576337584718e-07,7.10156269705396e-09,-11.8480742960822
6.08e-09,6.27661504092922e-07,1.60120905303677e-07,7.33849590707795e-09,-11.8452054077575
6.1e-09,6.27424629086636e-07,1.64714007804332e-07,7.57537091336394e-09,-11.8422534811548
6.12e-09,6.27187813953676e-07,1.69355044170841e-07,7.81218604632392e-09,-11.8392176396185
6.14e-09,6.26951060381051e-07,1.74043427139034e-07,8.04893961894893e-09,-11.8360970172904
6.16e-09,6.26714370072984e-07,1.78778582415973e-07,8.285629927016e-09,-11.8328907588681
6.18e-09,6.26477744750696e-07,1.83559948042043e-07,8.52225524930398e-09,-11.8295980193747
6.2e-09,6.26241186152209e-07,1.88386973792289e-07,8.75881384779095e-09,-11.8262179639402
6.22e-09,6.26004696032139e-07,1.93259120613971e-07,8.99530396786098e-09,-11.8227497675936
6.24e-09,6.25768276161505e-07,1.9817586009762e-07,9.231723838495e-09,-11.8191926150643
6.26e-09,6.25531928327536e-07,2.0313667397912e-07,9.46807167246399e-09,-11.8155457005932
6.28e-09,6.25295654333481e-07,2.08141053670555e-07,9.70434566651898e-09,-11.8118082277529
6.3e-09,6.25059455998426e-07,2.13188499817734e-07,9.9405440015739e-09,-11.8079794092754
6.32e-09,6.2482333515711e-07,2.18278521882532e-07,1.017666484289e-08,-11.8040584668885
6.34e-09,6.24587293659751e-07,2.23410637748307e-07,1.0412706340249e-08,-11.800044631159
6.36e-09,6.24351333371864e-07,2.28584373346808e-07,1.0648666628136e-08,-11.7959371413428
6.38e-09,6.24115456174097e-07,2.33799262305144e-07,1.0884543825903e-08,-11.7917352452423
6.4e-09,6.23879663962054e-07,2.39054845611432e-07,1.1120336037946e-08,-11.7874381990689
6.42e-09,6.23643958646134e-07,2.44350671297942e-07,1.13560413538659e-08,-11.7830452673129
6.44e-09,6.23408342151362e-07,2.4968629414059e-07,1.15916578486379e-08,-11.7785557226176
6.46e-09,6.23172816417229e-07,2.55061275373721e-07,1.18271835827709e-08,-11.7739688456596
6.48e-09,6.22937383397535e-07,2.60475182419246e-07,1.2062616602465e-08,-11.7692839250338
6.5e-09,6.22702045060228e-07,2.6592758862922e-07,1.2297954939772e-08,-11.7645002571432
6.52e-09,6.2246680338725e-07,2.71418073041043e-07,1.253319661275e-08,-11.7596171460935
6.54e-09,6.22231660374384e-07,2.76946220144533e-07,1.27683396256159e-08,-11.7546339035919
6.56e-09,6.21996618031106e-07,2.82511619660143e-07,1.3003381968894e-08,-11.7495498488498
6.58e-09,6.2176167838043e-07,2.88113866327678e-07,1.323832161957e-08,-11.7443643084898
6.6e-09,6.21526843458766e-07,2.93752559704906e-07,1.34731565412339e-08,-11.7390766164564
6.62e-09,6.21292115315772e-07,2.99427303975476e-07,1.37078846842279e-08,-11.73368611393
6.64e-09,6.21057496014209e-07,3.05137707765645e-07,1.39425039857909e-08,-11.7281921492446
6.66e-09,6.20822987629802e-07,3.10883383969284e-07,1.41770123701979e-08,-11.7225940778085
6.68e-09,6.20588592251097e-07,3.16663949580747e-07,1.44114077489029e-08,-11.7168912620286
6.7e-09,6.20354311979321e-07,3.22479025535135e-07,1.4645688020679e-08,-11.7110830712368
6.72e-09,6.20120148928247e-07,3.28328236555587e-07,1.48798510717529e-08,-11.7051688816203
6.74e-09,6.19886105224056e-07,3.34211211007201e-07,1.5113894775944e-08,-11.6991480761537
6.76e-09,6.19652183005201e-07,3.40127580757253e-07,1.53478169947989e-08,-11.6930200445343
6.78e-09,6.19418384422275e-07,3.46076981041373e-07,1.5581615577725e-08,-11.6867841831194
6.8e-09,6.19184711637876e-07,3.52059050335388e-07,1.58152883621239e-08,-11.6804398948667
6.82e-09,6.1895116682648e-07,3.58073430232518e-07,1.60488331735199e-08,-11.673986589276
6.84e-09,6.18717752174305e-07,3.64119765325689e-07,1.6282247825695e-08,-11.667423682334
6.86e-09,6.18484469879187e-07,3.70197703094677e-07,1.65155301208129e-08,-11.6607505964606
6.88e-09,6.18251322150447e-07,3.76306893797877e-07,1.67486778495529e-08,-11.6539667604576
6.9e-09,6.18018311208769e-07,3.8244699036844e-07,1.69816887912309e-08,-11.6470716094588
6.92e-09,6.17785439286069e-07,3.88617648314597e-07,1.72145607139309e-08,-11.6400645848827
6.94e-09,6.17552708625373e-07,3.94818525623957e-07,1.7447291374627e-08,-11.6329451343864
6.96e-09,6.17320121480693e-07,4.01049282671587e-07,1.76798785193069e-08,-11.6257127118212
6.98e-09,6.170876801169e-07,4.07309582131717e-07,1.79123198831e-08,-11.6183667771903
7e-09,6.16855386809606e-07,4.13599088892884e-07,1.8144613190394e-08,-11.6109067966076
7.02e-09,6.16623243845036e-07,4.19917469976377e-07,1.83767561549639e-08,-11.6033322422583
7.04e-09,6.16391253519915e-07,4.26264394457811e-07,1.86087464800849e-08,-11.5956425923607
7.06e-09,6.16159418141342e-07,4.32639533391715e-07,1.88405818586579e-08,-11.5878373311297
7.08e-09,6.1592774002667e-07,4.39042559738997e-07,1.90722599733299e-08,-11.5799159487414
7.1e-09,6.15696221503392e-07,4.4547314829714e-07,1.93037784966079e-08,-11.5718779412992
7.12e-09,6.15464864909018e-07,4.51930975633039e-07,1.9535135090982e-08,-11.563722810801
7.14e-09,6.1523367259096e-07,4.58415720018338e-07,1.976632740904e-08,-11.5554500651074
7.16e-09,6.15002646906414e-07,4.64927061367207e-07,1.9997353093586e-08,-11.5470592179115
7.18e-09,6.14771790222244e-07,4.71464681176393e-07,2.0228209777756e-08,-11.5385497887098
7.2e-09,6.14541104914865e-07,4.78028262467512e-07,2.0458895085135e-08,-11.5299213027734
7.22e-09,6.14310593370133e-07,4.84617489731445e-07,2.06894066298669e-08,-11.5211732911213
