t,delta,force,overlap,vel
3.236e-08,6.35279999999927e-07,0,-2.79999999927049e-10,-2
3.238e-08,6.35239999999927e-07,0,-2.39999999927004e-10,-2
3.24e-08,6.35199999999926e-07,0,-1.99999999926006e-10,-2
3.242e-08,6.35159999999926e-07,0,-1.59999999926066e-10,-2
3.244e-08,6.35119999999926e-07,0,-1.19999999926021e-10,-2
3.246e-08,6.35079999999926e-07,0,-7.99999999260812e-11,-2
3.248e-08,6.35039999999926e-07,0,-3.99999999260359e-11,-2
3.25e-08,6.34999999999926e-07,-6.19217994749357e-08,7.39036246479377e-20,-2.00056271231872
3.252e-08,6.34959977491434e-07,-6.14742558526096e-08,4.00225085659065e-11,-2.00168406991819
3.254e-08,6.3491993263713e-07,-6.10242380268675e-08,8.00673628699895e-11,-2.00279727095748
3.256e-08,6.34879865600595e-07,-6.05707258495361e-08,1.20134399404927e-10,-2.00390226119755
3.258e-08,6.34839776546682e-07,-6.01123323872426e-08,1.60223453317989e-10,-2.00499896452507
3.26e-08,6.34799665642014e-07,-5.96514838961999e-08,2.00334357985937e-10,-2.00608731427154
3.262e-08,6.34759533054111e-07,-5.91862193710342e-08,2.40466945888949e-10,-2.0071672479964
3.264e-08,6.34719378952094e-07,-5.87171116028954e-08,2.80621047905989e-10,-2.00823869064373
3.266e-08,6.34679203506485e-07,-5.82455687517218e-08,3.20796493514927e-10,-2.00930158515946
3.268e-08,6.34639006888688e-07,-5.77687472164033e-08,3.60993111311975e-10,-2.01035586144497
3.27e-08,6.34598789272027e-07,-5.72890589265216e-08,4.0121072797291e-10,-2.01140144547887
3.272e-08,6.34558550830869e-07,-5.68065226711533e-08,4.41449169130918e-10,-2.01243828532883
3.274e-08,6.34518291740614e-07,-5.63187674816726e-08,4.8170825938591e-10,-2.01346630768715
3.276e-08,6.34478012178561e-07,-5.58286308618736e-08,5.21987821438962e-10,-2.01448544348577
3.278e-08,6.34437712322875e-07,-5.53348234870722e-08,5.62287677124952e-10,-2.01549563772566
3.28e-08,6.34397392353052e-07,-5.48367297615268e-08,6.02607646947962e-10,-2.01649681809689
3.282e-08,6.34357052450151e-07,-5.43362755605183e-08,6.42947549848983e-10,-2.01748892419663
3.284e-08,6.34316692796084e-07,-5.38313791761263e-08,6.83307203915938e-10,-2.01847189420596
3.286e-08,6.34276313574382e-07,-5.33230756746798e-08,7.23686425617962e-10,-2.0194456567946
