t,delta,force,overlap,vel
5.95e-08,3.38548875712686e-06,0,-2.75048875712686e-06,62.3343351094227
5.952e-08,3.38673544382905e-06,0,-2.75173544382905e-06,62.3343351094227
5.954e-08,3.38798213053123e-06,0,-2.75298213053123e-06,62.3343351094227
5.956e-08,3.38922881723342e-06,0,-2.75422881723342e-06,62.3343351094227
5.958e-08,3.39047550393561e-06,0,-2.75547550393561e-06,62.3343351094227
5.96e-08,3.3917221906378e-06,0,-2.7567221906378e-06,62.3343351094227
5.962e-08,3.39296887733999e-06,0,-2.75796887733999e-06,62.3343351094227
5.964e-08,3.39421556404218e-06,0,-2.75921556404218e-06,62.3343351094227
5.966e-08,3.39546225074437e-06,0,-2.76046225074437e-06,62.3343351094227
5.968e-08,3.39670893744655e-06,0,-2.76170893744655e-06,62.3343351094227
5.97e-08,3.39795562414874e-06,0,-2.76295562414874e-06,62.3343351094227
5.972e-08,3.39920231085093e-06,0,-2.76420231085093e-06,62.3343351094227
5.974e-08,3.40044899755312e-06,0,-2.76544899755312e-06,62.3343351094227
5.976e-08,3.40169568425531e-06,0,-2.76669568425531e-06,62.3343351094227
5.978e-08,3.4029423709575e-06,0,-2.7679423709575e-06,62.3343351094227
5.98e-08,3.40418905765968e-06,0,-2.76918905765968e-06,62.3343351094227
5.982e-08,3.40543574436187e-06,0,-2.77043574436187e-06,62.3343351094227
5.984e-08,3.40668243106406e-06,0,-2.77168243106406e-06,62.3343351094227
5.986e-08,3.40792911776625e-06,0,-2.77292911776625e-06,62.3343351094227
5.988e-08,3.40917580446844e-06,0,-2.77417580446844e-06,62.3343351094227
5.99e-08,3.41042249117063e-06,0,-2.77542249117063e-06,62.3343351094227
5.992e-08,3.41166917787282e-06,0,-2.77666917787282e-06,62.3343351094227
5.994e-08,3.412915864575e-06,0,-2.777915864575e-06,62.3343351094227
5.996e-08,3.41416255127719e-06,0,-2.77916255127719e-06,62.3343351094227
5.998e-08,3.41540923797938e-06,0,-2.78040923797938e-06,62.3343351094227
6e-08,3.41665592468157e-06,0,-2.78165592468157e-06,62.3343351094227
6.002e-08,3.41790261138376e-06,0,-2.78290261138376e-06,62.3343351094227
6.004e-08,3.41914929808595e-06,0,-2.78414929808595e-06,62.3343351094227
6.006e-08,3.42039598478813e-06,0,-2.78539598478813e-06,62.3343351094227
6.008e-08,3.42164267149032e-06,0,-2.78664267149032e-06,62.3343351094227
6.01e-08,3.42288935819251e-06,0,-2.78788935819251e-06,62.3343351094227
6.012e-08,3.4241360448947e-06,0,-2.7891360448947e-06,62.3343351094227
6.014e-08,3.42538273159689e-06,0,-2.79038273159689e-06,62.3343351094227
6.016e-08,3.42662941829908e-06,0,-2.79162941829908e-06,62.3343351094227
6.018e-08,3.42787610500126e-06,0,-2.79287610500126e-06,62.3343351094227
6.02e-08,3.42912279170345e-06,0,-2.79412279170345e-06,62.3343351094227
6.022e-08,3.43036947840564e-06,0,-2.79536947840564e-06,62.3343351094227
6.024e-08,3.43161616510783e-06,0,-2.79661616510783e-06,62.3343351094227
6.026e-08,3.43286285181002e-06,0,-2.79786285181002e-06,62.3343351094227
6.028e-08,3.43410953851221e-06,0,-2.79910953851221e-06,62.3343351094227
6.03e-08,3.4353562252144e-06,0,-2.8003562252144e-06,62.3343351094227
6.032e-08,3.43660291191658e-06,0,-2.80160291191658e-06,62.3343351094227
6.034e-08,3.43784959861877e-06,0,-2.80284959861877e-06,62.3343351094227
6.036e-08,3.43909628532096e-06,0,-2.80409628532096e-06,62.3343351094227
6.038e-08,3.44034297202315e-06,0,-2.80534297202315e-06,62.3343351094227
6.04e-08,3.44158965872534e-06,0,-2.80658965872534e-06,62.3343351094227
6.042e-08,3.44283634542753e-06,0,-2.80783634542753e-06,62.3343351094227
6.044e-08,3.44408303212971e-06,0,-2.80908303212971e-06,62.3343351094227
6.046e-08,3.4453297188319e-06,0,-2.8103297188319e-06,62.3343351094227
6.048e-08,3.44657640553409e-06,0,-2.81157640553409e-06,62.3343351094227
6.05e-08,3.44782309223628e-06,0,-2.81282309223628e-06,62.3343351094227
6.052e-08,3.44906977893847e-06,0,-2.81406977893847e-06,62.3343351094227
6.054e-08,3.45031646564066e-06,0,-2.81531646564066e-06,62.3343351094227
6.056e-08,3.45156315234285e-06,0,-2.81656315234285e-06,62.3343351094227
6.058e-08,3.45280983904503e-06,0,-2.81780983904503e-06,62.3343351094227
6.06e-08,3.45405652574722e-06,0,-2.81905652574722e-06,62.3343351094227
6.062e-08,3.45530321244941e-06,0,-2.82030321244941e-06,62.3343351094227
6.064e-08,3.4565498991516e-06,0,-2.8215498991516e-06,62.3343351094227
6.066e-08,3.45779658585379e-06,0,-2.82279658585379e-06,62.3343351094227
6.068e-08,3.45904327255598e-06,0,-2.82404327255598e-06,62.3343351094227
6.07e-08,3.46028995925816e-06,0,-2.82528995925816e-06,62.3343351094227
6.072e-08,3.46153664596035e-06,0,-2.82653664596035e-06,62.3343351094227
6.074e-08,3.46278333266254e-06,0,-2.82778333266254e-06,62.3343351094227
6.076e-08,3.46403001936473e-06,0,-2.82903001936473e-06,62.3343351094227
6.078e-08,3.46527670606692e-06,0,-2.83027670606692e-06,62.3343351094227
6.08e-08,3.46652339276911e-06,0,-2.83152339276911e-06,62.3343351094227
6.082e-08,3.4677700794713e-06,0,-2.8327700794713e-06,62.3343351094227
6.084e-08,3.46901676617348e-06,0,-2.83401676617348e-06,62.3343351094227
6.086e-08,3.47026345287567e-06,0,-2.83526345287567e-06,62.3343351094227
6.088e-08,3.47151013957786e-06,0,-2.83651013957786e-06,62.3343351094227
6.09e-08,3.47275682628005e-06,0,-2.83775682628005e-06,62.3343351094227
6.092e-08,3.47400351298224e-06,0,-2.83900351298224e-06,62.3343351094227
