TIMESTEP CONTACTS
120102	26781
1.85127e-06 4.33012e-06 -2.91749e-06 
0 -0 0 
2.31425e-07 -5.87411e-08 -4.88702e-07 
0 0 0 
0 0 0 
-0 0 0 
0 0 0 
-7.33128e-06 1.13876e-06 1.80443e-07 
0 0 -0 
1.84531e-08 -1.63872e-07 4.04957e-09 
0 -0 0 
4.99999e-07 5.78863e-07 -2.29398e-06 
-2.59554e-06 -4.63757e-06 -5.78508e-06 
2.33561e-06 -1.27649e-05 3.31235e-07 
-1.14039e-05 9.24208e-07 -2.00616e-07 
-0 -0 0 
0 -0 0 
-0 0 0 
-1.07929e-06 -1.96139e-06 -3.31649e-06 
-3.50911e-06 8.07673e-07 9.05823e-08 
1.8645e-06 -1.48377e-05 -4.04897e-07 
-3.45485e-07 -1.73301e-07 -1.65554e-08 
3.20192e-06 1.29165e-06 -5.06469e-06 
0 -0 0 
0 0 0 
-2.8251e-06 -5.0816e-06 1.85823e-07 
-0 0 -0 
2.14335e-07 3.33682e-07 -6.08923e-07 
-0 0 0 
1.0291e-07 1.81427e-07 3.25599e-07 
4.4818e-07 -3.70414e-07 -1.82922e-08 
-1.64189e-06 -5.20883e-06 -1.50704e-07 
-1.01602e-07 -1.87432e-07 4.29074e-07 
0 0 0 
0 -0 0 
-3.83878e-06 -3.51905e-06 -6.28586e-08 
-0 0 0 
0 -0 0 
-0 0 0 
2.59088e-06 -8.53824e-06 4.62081e-06 
-1.06025e-05 -1.34155e-06 5.26835e-06 
0 0 0 
0 0 -0 
-0 -0 0 
0 -0 0 
0 -0 0 
3.05219e-06 1.23768e-06 -2.17149e-06 
-0 0 0 
2.11218e-06 -6.56545e-06 -1.29756e-05 
-4.53753e-06 1.05717e-06 -2.75876e-06 
-0 0 0 
0 -0 0 
0 -0 0 
5.21454e-08 -2.37326e-08 -8.33676e-09 
-8.14726e-07 -1.23128e-05 -3.95612e-08 
-6.67469e-07 -3.28263e-07 3.61933e-10 
-0 -0 0 
0 -0 0 
-0 0 0 
2.83278e-07 6.21289e-07 1.09261e-06 
-1.17083e-05 -5.22936e-06 -1.0402e-07 
0 -0 0 
-5.92781e-08 -4.63214e-07 -5.2972e-07 
-0 0 -0 
1.34869e-08 8.15705e-08 -2.52145e-07 
1.41685e-09 1.77951e-07 -1.77663e-07 
-0 0 0 
9.41476e-07 -8.93452e-07 2.19993e-08 
-0 0 -0 
-9.46988e-08 1.78701e-06 1.54204e-08 
-1.27134e-05 -5.74924e-06 9.7178e-08 
0 -0 0 
-3.02651e-08 -1.30201e-07 -2.23705e-07 
-0 0 0 
-1.80839e-06 1.67703e-08 1.64196e-06 
7.20502e-08 7.98525e-07 -1.45783e-07 
-0 -0 0 
0 -0 0 
0 -0 0 
1.75086e-06 2.83505e-08 -4.47564e-07 
3.02963e-07 -5.24707e-07 -7.59565e-07 
0 0 0 
0 0 0 
0 0 0 
2.80108e-06 -4.06088e-06 6.02365e-06 
0 0 -0 
-0 -0 0 
-0 -0 0 
4.14189e-07 2.95851e-06 -6.49158e-07 
-2.68607e-06 2.12088e-06 -3.84593e-06 
-0 0 0 
8.81928e-07 -7.2193e-07 -1.74497e-06 
1.36453e-08 -6.07121e-07 -1.06385e-07 
-1.68609e-06 -4.62189e-07 -2.24734e-07 
0 0 0 
0 -0 0 
0 0 0 
0 0 -0 
0 -0 0 
-4.10408e-07 -1.47636e-06 -2.22676e-06 
-9.86801e-07 -3.73595e-06 2.94172e-06 
3.03624e-06 4.05331e-06 -5.85254e-07 
-0 -0 0 
0 -0 0 
-4.08104e-07 1.6172e-06 -2.86482e-06 
8.93213e-07 -1.06365e-06 -1.85242e-07 
-1.54653e-06 -1.13839e-06 -3.71729e-07 
-3.03952e-07 -4.6101e-06 -7.53226e-06 
0 0 0 
-9.66801e-06 2.48661e-07 1.28306e-06 
1.18313e-05 -7.58711e-06 1.85327e-06 
-0 0 -0 
0 0 0 
-0 -0 0 
-4.19382e-07 1.40845e-07 -5.75648e-07 
-0 -0 0 
-0 0 0 
0 0 0 
-4.42936e-06 -1.02573e-08 1.92161e-09 
1.7621e-06 -4.6377e-06 -3.59068e-06 
-1.03236e-06 -1.7399e-06 -3.02574e-09 
-0 -0 0 
-0 -0 0 
1.50247e-07 6.02033e-08 2.4901e-07 
0 -0 0 
7.63167e-07 -1.33791e-06 -3.00936e-09 
0 0 0 
0 0 0 
-0 -0 0 
1.43147e-07 -5.96958e-08 -2.49853e-07 
2.73685e-07 -8.71544e-09 3.30053e-07 
-5.45043e-06 -1.88661e-06 5.58252e-07 
0 -0 0 
5.8193e-06 -1.09281e-05 6.99624e-07 
1.36637e-06 -4.07313e-07 -1.29307e-06 
-2.28168e-07 -7.69002e-08 -1.12287e-06 
-0 0 0 
0 0 0 
-1.03245e-06 5.17537e-06 -4.15826e-06 
0 -0 0 
6.14902e-07 -4.68273e-06 -1.10807e-10 
-4.90087e-06 -3.48596e-06 -1.51741e-06 
-0 -0 0 
0 -0 0 
-1.18243e-07 1.01112e-06 2.0294e-06 
0 0 -0 
0 0 -0 
-0 -0 0 
5.67932e-07 4.25327e-07 -8.52834e-07 
-3.80645e-06 3.99277e-06 -5.70596e-06 
-0 0 0 
-0 0 0 
-2.99989e-06 -2.94167e-06 -1.90846e-06 
-0 0 0 
0 0 0 
1.90858e-07 -7.46477e-08 2.38772e-09 
6.8364e-07 -5.56024e-06 -1.31705e-06 
-0 0 0 
0 0 0 
-5.28182e-07 3.99641e-06 -4.44887e-08 
-3.30261e-06 8.00736e-07 -4.361e-08 
3.3315e-06 -1.27054e-06 -8.35535e-07 
4.74311e-07 -3.60121e-06 5.76838e-09 
0 0 -0 
-0 -0 0 
0 -0 0 
0 0 0 
-0 0 0 
0 0 0 
-4.73476e-06 4.44666e-06 -8.12186e-06 
6.10323e-08 -3.49599e-07 -7.36548e-07 
0 0 0 
0 -0 0 
1.76242e-06 -1.10443e-05 3.04003e-07 
-2.89137e-06 -1.52543e-06 5.03046e-08 
-0 -0 0 
-0 -0 0 
3.07303e-07 -4.61337e-07 7.37436e-07 
4.40115e-07 -7.7389e-07 -1.97692e-06 
0 -0 0 
0 0 0 
0 0 -0 
8.23267e-08 -5.68819e-07 1.80112e-08 
-0 -0 0 
0 -0 0 
-0 0 0 
7.44701e-09 2.35875e-08 3.9814e-08 
0 -0 0 
-0 0 -0 
-1.34942e-06 -6.21895e-06 8.98715e-08 
-0 0 0 
2.38725e-07 8.509e-07 -1.9324e-06 
0 0 0 
0 0 -0 
9.6257e-10 -1.08848e-08 1.74684e-09 
9.1898e-09 -5.85504e-08 7.80494e-08 
2.43368e-08 5.34574e-08 5.6955e-08 
0 0 0 
-3.18199e-06 2.1217e-06 1.41057e-08 
-0 0 -0 
2.9767e-06 -1.17436e-05 -1.04124e-07 
-1.19473e-06 -1.70149e-06 -1.96834e-06 
0 0 0 
-0 0 0 
3.6859e-07 -1.2278e-06 2.02189e-06 
0 -0 0 
0 0 0 
-0 0 0 
-8.57147e-07 -2.13848e-06 -5.81973e-08 
-0 0 0 
0 0 0 
0 -0 -0 
1.15987e-06 5.06902e-07 -2.60329e-08 
-1.43986e-06 1.29336e-06 -7.62547e-09 
0 0 -0 
-0 0 0 
3.07956e-08 -9.09683e-08 1.54779e-07 
2.29005e-08 7.20297e-08 1.22526e-07 
0 -0 0 
7.69583e-07 -1.32974e-05 6.41292e-08 
-2.30189e-06 -1.53109e-06 -3.4359e-10 
-0 -0 0 
-0 0 0 
2.85264e-07 7.68861e-07 1.54266e-06 
4.10832e-07 -1.98692e-07 2.24912e-09 
5.30237e-06 -4.70221e-06 5.84064e-08 
-3.75064e-06 -7.91775e-06 -7.01374e-08 
0 0 -0 
-0 -0 0 
-0 0 0 
0 -0 0 
0 0 0 
5.16009e-08 1.15512e-07 2.27482e-07 
-8.19288e-07 4.10721e-07 -6.60601e-07 
-0 0 0 
-1.00793e-06 -2.20767e-06 3.45514e-08 
-0 -0 0 
0 0 0 
0 -0 0 
-0 0 0 
6.43115e-07 7.52103e-08 -4.74886e-07 
-0 0 -0 
0 0 -0 
4.41202e-07 3.15993e-06 -1.19314e-06 
0 -0 0 
-3.47705e-07 2.42654e-07 -1.10847e-07 
-0 0 0 
3.65459e-06 -6.67848e-06 -2.46238e-06 
-0 0 0 
-1.60315e-06 -8.95942e-08 2.0803e-06 
-1.75371e-06 -9.99607e-07 -1.7158e-06 
0 0 0 
0 0 0 
0 -0 0 
4.44377e-07 -2.96524e-06 -5.38448e-07 
0 -0 0 
-0 0 0 
2.29502e-07 1.13987e-06 -1.17401e-06 
-1.69859e-06 5.45554e-07 1.94434e-06 
-0 0 -0 
-4.37558e-07 -4.20667e-07 5.50384e-08 
3.56703e-07 -8.00853e-07 9.16758e-09 
0 -0 0 
1.5474e-06 -4.71686e-07 -9.13898e-07 
0 -0 0 
1.08673e-07 1.27796e-07 2.31377e-07 
-0 0 0 
0 0 0 
-0 -0 0 
-4.86531e-06 8.76374e-06 1.61802e-07 
-4.082e-07 2.12846e-08 2.22081e-08 
4.62357e-06 -1.10489e-06 -6.88125e-07 
9.43828e-07 -5.97929e-06 1.74952e-07 
0 0 -0 
0 -0 0 
3.31056e-07 -2.81512e-07 -8.82694e-07 
0 0 0 
-1.10792e-06 -1.91228e-06 8.40962e-08 
0 0 -0 
-0 -0 0 
0 0 0 
0 0 0 
-1.66956e-06 1.03332e-06 5.45454e-10 
1.83512e-07 -1.08634e-06 -3.09481e-08 
-9.40728e-07 -7.43143e-07 -2.75357e-08 
-0 -0 0 
0 -0 0 
8.98497e-07 -1.07255e-06 -2.3821e-06 
0 0 0 
0 -0 0 
-2.1584e-06 -1.61106e-06 -3.37558e-08 
-0 0 0 
-0 -0 0 
0 -0 0 
8.80915e-07 -2.1428e-06 -3.73672e-06 
0 0 0 
