TIMESTEP CONTACTS
120102	26781
-2.89357e-06 -1.52018e-06 8.2763e-08 
0 0 0 
0 0 0 
3.24587e-07 -4.50294e-07 7.37142e-07 
4.31152e-07 -7.8729e-07 -1.97367e-06 
0 0 0 
0 0 0 
0 0 0 
8.72871e-08 -5.67891e-07 2.4644e-08 
0 0 0 
0 0 0 
0 0 0 
7.77112e-09 2.36914e-08 3.96918e-08 
0 0 0 
0 0 0 
-1.34584e-06 -6.21981e-06 8.411e-08 
0 0 0 
2.41982e-07 8.59505e-07 -1.92821e-06 
0 0 0 
0 0 0 
1.25732e-09 -1.07853e-08 2.2044e-09 
1.12856e-08 -6.19715e-08 7.52362e-08 
2.05098e-08 5.4869e-08 5.72652e-08 
0 0 0 
-3.12463e-06 2.20763e-06 2.85089e-08 
0 0 0 
3.13187e-06 -1.17053e-05 3.67688e-09 
-1.20169e-06 -1.64357e-06 -2.01417e-06 
0 0 0 
0 0 0 
3.41397e-07 -1.21679e-06 2.03353e-06 
0 0 0 
0 0 0 
0 0 0 
-9.06165e-07 -2.11697e-06 -1.26873e-07 
0 0 0 
0 0 0 
0 0 0 
1.16263e-06 4.9937e-07 -4.95165e-08 
-1.40502e-06 1.33202e-06 -2.67634e-08 
0 0 0 
0 0 0 
2.41384e-08 -8.62827e-08 1.58858e-07 
2.17149e-08 7.82448e-08 1.19094e-07 
0 0 0 
8.56224e-07 -1.32921e-05 1.2646e-07 
-2.265e-06 -1.58652e-06 -1.21477e-07 
0 0 0 
0 0 0 
3.51073e-07 8.1448e-07 1.50775e-06 
4.18765e-07 -1.82135e-07 1.57984e-08 
5.20886e-06 -4.80795e-06 3.48879e-08 
-3.6871e-06 -7.94736e-06 -1.25408e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
4.96414e-08 1.04229e-07 2.33655e-07 
-8.57056e-07 4.01178e-07 -6.19694e-07 
0 0 0 
-1.05324e-06 -2.18525e-06 1.44869e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
6.37766e-07 3.76723e-08 -4.88074e-07 
0 0 0 
0 0 0 
5.05333e-07 3.17624e-06 -1.12622e-06 
0 0 0 
-3.61042e-07 2.269e-07 -1.03497e-07 
0 0 0 
3.67877e-06 -6.6562e-06 -2.48693e-06 
0 0 0 
-1.681e-06 -1.74175e-07 2.01667e-06 
-1.76619e-06 -9.11974e-07 -1.7541e-06 
0 0 0 
0 0 0 
0 0 0 
3.93941e-07 -2.98791e-06 -4.55238e-07 
0 0 0 
0 0 0 
2.14956e-07 1.13762e-06 -1.17904e-06 
-1.73387e-06 5.1437e-07 1.92227e-06 
0 0 0 
-4.16514e-07 -4.4268e-07 5.4097e-08 
3.23411e-07 -8.15599e-07 1.63598e-08 
0 0 0 
1.51952e-06 -4.92899e-07 -9.50152e-07 
0 0 0 
1.04916e-07 1.1655e-07 2.39352e-07 
0 0 0 
0 0 0 
0 0 0 
-5.08961e-06 8.63768e-06 2.44562e-07 
-4.09419e-07 1.05255e-08 1.01047e-08 
4.60126e-06 -1.20425e-06 -6.78463e-07 
7.92674e-07 -6.00196e-06 2.15729e-07 
0 0 0 
0 0 0 
3.27123e-07 -3.04622e-07 -8.76798e-07 
0 0 0 
-1.17117e-06 -1.87295e-06 1.45112e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-1.70573e-06 9.74872e-07 3.94604e-09 
1.59299e-07 -1.09084e-06 -1.67284e-08 
-9.50953e-07 -7.3054e-07 -1.83311e-08 
0 0 0 
0 0 0 
9.28253e-07 -1.00364e-06 -2.40191e-06 
0 0 0 
0 0 0 
-2.12847e-06 -1.65166e-06 -9.65993e-09 
0 0 0 
0 0 0 
0 0 0 
9.0233e-07 -2.06937e-06 -3.77378e-06 
0 0 0 
1.69151e-06 -1.31277e-05 2.76407e-06 
0 0 0 
5.19892e-08 2.97707e-06 -3.39966e-06 
0 0 0 
0 0 0 
0 0 0 
-2.57537e-06 -3.31304e-07 -2.6274e-06 
0 0 0 
0 0 0 
3.4396e-06 -1.18501e-06 -1.26891e-07 
0 0 0 
3.12521e-06 -1.93329e-06 1.86789e-08 
-7.97399e-06 -9.27401e-06 -3.97375e-07 
0 0 0 
0 0 0 
0 0 0 
9.68233e-07 -2.39153e-06 -3.2705e-06 
1.36017e-06 -4.02708e-07 -3.27766e-09 
0 0 0 
1.41928e-07 1.37066e-07 6.83019e-09 
0 0 0 
2.46709e-06 -4.51595e-06 -8.68001e-06 
0 0 0 
0 0 0 
-1.47587e-06 -1.37925e-06 -3.46719e-08 
2.31283e-06 -7.78846e-06 -3.69886e-07 
0 0 0 
0 0 0 
1.81902e-06 -2.35474e-06 -5.93805e-06 
0 0 0 
0 0 0 
0 0 0 
-2.29754e-06 -3.00859e-06 -1.26035e-06 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-5.13048e-07 9.19154e-07 1.4557e-06 
0 0 0 
-9.76741e-07 4.74269e-07 -3.38273e-07 
4.07922e-06 -1.37555e-06 -1.21591e-07 
-2.55181e-09 3.44976e-08 4.93373e-10 
-3.81169e-06 -2.46286e-06 -3.05074e-07 
0 0 0 
1.71574e-08 8.71566e-07 -1.06414e-06 
-7.84919e-07 1.07715e-06 1.89654e-06 
0 0 0 
0 0 0 
-9.01667e-08 4.35944e-08 3.08963e-08 
-3.43611e-10 1.43642e-07 -2.80393e-08 
0 0 0 
0 0 0 
0 0 0 
-3.15158e-06 -7.96122e-07 1.84887e-06 
-3.04534e-08 2.97258e-07 -7.78924e-07 
0 0 0 
-4.76118e-09 -2.22349e-06 -2.57588e-06 
3.25593e-08 8.60177e-07 -5.7135e-09 
1.12395e-08 9.16173e-08 -1.70017e-07 
0 0 0 
-4.99676e-07 -7.25535e-06 -1.20244e-05 
0 0 0 
-1.86661e-07 -1.20799e-07 1.30816e-09 
0 0 0 
-1.63793e-07 1.27969e-07 -3.70993e-07 
0 0 0 
0 0 0 
-9.58969e-09 -6.82438e-08 5.76611e-08 
-3.33839e-08 9.36512e-08 -1.65957e-08 
0 0 0 
3.82567e-08 -9.94492e-09 5.9288e-08 
0 0 0 
0 0 0 
0 0 0 
