TIMESTEP CONTACTS
120102	26781
9.50759e-09 -1.93655e-08 -3.0289e-08 
0 0 0 
0 0 0 
0 0 0 
-4.82109e-08 -3.05502e-08 2.98713e-08 
-1.07383e-07 2.42224e-07 -9.03905e-08 
0 0 0 
2.11479e-08 -2.24153e-08 1.72346e-08 
0 0 0 
-6.47068e-09 -1.09147e-08 -3.87708e-09 
7.53681e-09 -7.13594e-09 -7.08739e-09 
0 0 0 
4.36071e-08 4.62722e-08 1.30421e-08 
0 0 0 
-4.71384e-08 -2.65021e-09 1.76386e-08 
1.36739e-07 -2.99535e-07 1.68037e-07 
0 0 0 
-1.01177e-08 -6.42073e-09 5.10581e-09 
0 0 0 
-1.30042e-08 4.07575e-08 -1.47386e-08 
-3.96846e-08 1.93138e-09 -9.0342e-09 
0 0 0 
0 0 0 
0 0 0 
-2.23485e-08 -1.83081e-09 -8.75429e-08 
-3.99076e-08 -1.75345e-08 -3.80494e-09 
0 0 0 
0 0 0 
0 0 0 
8.46848e-08 9.40749e-08 2.40415e-08 
0 0 0 
0 0 0 
0 0 0 
5.37469e-08 -2.41307e-09 2.32953e-08 
3.20311e-09 8.75564e-08 4.60468e-08 
0 0 0 
3.57649e-08 8.45361e-09 1.45786e-08 
3.08073e-08 7.83335e-10 -5.18895e-10 
-1.17026e-08 3.60517e-08 1.36557e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
4.42841e-08 4.14704e-08 -3.56571e-08 
4.79477e-08 -5.93736e-10 1.533e-08 
-4.86452e-08 3.99873e-08 2.45751e-08 
0 0 0 
0 0 0 
7.06493e-08 7.37411e-08 3.15629e-08 
4.00264e-09 -8.72554e-09 6.94015e-08 
2.9619e-08 -2.76132e-08 -3.86627e-08 
1.62755e-07 -1.21352e-07 6.77055e-08 
0 0 0 
-1.28092e-09 -2.76733e-07 4.39801e-08 
-2.74854e-07 -4.25769e-07 1.16063e-08 
0 0 0 
0 0 0 
0 0 0 
-1.48454e-08 -3.30056e-08 2.73993e-09 
0 0 0 
0 0 0 
0 0 0 
-2.09143e-10 9.07246e-08 2.1953e-09 
1.41146e-07 -4.72184e-08 1.30253e-07 
-1.17805e-08 7.02831e-09 -2.20773e-08 
0 0 0 
0 0 0 
-9.64114e-09 -8.17435e-09 7.79355e-09 
0 0 0 
4.71004e-08 2.69898e-08 -5.46276e-08 
0 0 0 
0 0 0 
0 0 0 
1.27028e-08 3.76128e-09 6.37912e-09 
-1.45708e-08 -1.03867e-08 1.18081e-08 
4.30851e-08 -1.20859e-07 1.22151e-08 
0 0 0 
-1.91613e-07 -9.96723e-08 3.69083e-08 
1.33297e-08 1.29731e-08 9.99882e-09 
2.91938e-09 -1.20992e-08 2.35395e-10 
0 0 0 
0 0 0 
1.08128e-07 9.26158e-08 8.84226e-08 
0 0 0 
-1.41775e-07 -1.86185e-08 6.62464e-08 
4.21614e-08 -1.00143e-07 9.38872e-08 
0 0 0 
0 0 0 
2.20934e-08 6.34852e-09 -1.87579e-09 
0 0 0 
0 0 0 
0 0 0 
-1.4247e-08 -7.71459e-09 -1.3335e-08 
1.65557e-08 -3.43518e-08 -3.50821e-08 
0 0 0 
0 0 0 
1.25134e-07 -1.3306e-07 8.40015e-09 
0 0 0 
0 0 0 
9.89669e-10 2.43727e-09 -2.91071e-09 
1.53931e-08 -4.29494e-08 1.89311e-07 
0 0 0 
0 0 0 
-5.24879e-08 -5.82796e-09 9.96262e-08 
2.16065e-08 8.94284e-08 5.74667e-09 
-4.31947e-09 -1.78248e-08 9.88207e-09 
5.77736e-08 7.76002e-09 9.41019e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
6.70079e-08 -1.05849e-07 -9.70146e-08 
-7.59152e-10 -1.88625e-09 8.32397e-10 
0 0 0 
0 0 0 
-4.6421e-07 -7.29109e-08 4.23753e-08 
-2.20502e-09 5.24991e-09 3.24584e-08 
0 0 0 
0 0 0 
1.72842e-08 1.10433e-08 -2.94019e-10 
-8.96319e-09 -1.34007e-08 3.25041e-09 
0 0 0 
0 0 0 
0 0 0 
4.96036e-09 9.27948e-10 6.63279e-09 
0 0 0 
0 0 0 
0 0 0 
3.24111e-10 1.03893e-10 -1.22174e-10 
0 0 0 
0 0 0 
3.57697e-09 -8.5941e-10 -5.76147e-09 
0 0 0 
3.25701e-09 8.60522e-09 4.19153e-09 
0 0 0 
0 0 0 
2.94751e-10 9.94972e-11 4.57561e-10 
2.09577e-09 -3.42116e-09 -2.81322e-09 
-3.82695e-09 1.41166e-09 3.10281e-10 
0 0 0 
5.73612e-08 8.5931e-08 1.44032e-08 
0 0 0 
1.55176e-07 3.8377e-08 1.07801e-07 
-6.96136e-09 5.7912e-08 -4.58354e-08 
0 0 0 
0 0 0 
-2.71929e-08 1.10095e-08 1.16429e-08 
0 0 0 
0 0 0 
0 0 0 
-4.90175e-08 2.15162e-08 -6.86759e-08 
0 0 0 
0 0 0 
0 0 0 
2.76449e-09 -7.5316e-09 -2.34836e-08 
3.48326e-08 3.86653e-08 -1.91379e-08 
0 0 0 
0 0 0 
-6.65714e-09 4.68554e-09 4.07836e-09 
-1.18564e-09 6.21518e-09 -3.43212e-09 
0 0 0 
8.66406e-08 5.3149e-09 6.23309e-08 
3.68898e-08 -5.54343e-08 -1.21133e-07 
0 0 0 
0 0 0 
6.58089e-08 4.56189e-08 -3.49057e-08 
7.93347e-09 1.65573e-08 1.35492e-08 
-9.35078e-08 -1.05735e-07 -2.35185e-08 
6.35344e-08 -2.96066e-08 -5.52709e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-1.95946e-09 -1.12825e-08 6.17356e-09 
-3.77675e-08 -9.54316e-09 4.09065e-08 
0 0 0 
-4.5316e-08 2.24159e-08 1.10318e-07 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-5.34853e-09 -3.7538e-08 -1.31884e-08 
0 0 0 
0 0 0 
6.41307e-08 1.63135e-08 6.69192e-08 
0 0 0 
-1.33372e-08 -1.57539e-08 7.34929e-09 
0 0 0 
2.41773e-08 2.22796e-08 -2.45437e-08 
0 0 0 
-7.7851e-08 -8.45813e-08 -6.36372e-08 
-1.2479e-08 8.76332e-08 -3.82995e-08 
0 0 0 
0 0 0 
0 0 0 
-5.04356e-08 -2.26683e-08 8.32104e-08 
0 0 0 
0 0 0 
-1.45453e-08 -2.25619e-09 -5.03399e-09 
-3.52795e-08 -3.11839e-08 -2.20706e-08 
0 0 0 
2.1044e-08 -2.20121e-08 -9.41476e-10 
-3.32923e-08 -1.47462e-08 7.19221e-09 
0 0 0 
-2.78775e-08 -2.12131e-08 -3.62532e-08 
0 0 0 
-3.7574e-09 -1.12454e-08 7.9759e-09 
0 0 0 
0 0 0 
0 0 0 
-2.24305e-07 -1.26054e-07 8.27602e-08 
-1.21949e-09 -1.07591e-08 -1.21034e-08 
-2.23047e-08 -9.93548e-08 9.66224e-09 
-1.51154e-07 -2.26664e-08 4.07774e-08 
0 0 0 
0 0 0 
-3.93328e-09 -2.31107e-08 5.89534e-09 
0 0 0 
-6.32503e-08 3.93286e-08 6.10159e-08 
0 0 0 
0 0 0 
0 0 0 
0 0 0 
-3.61751e-08 -5.84505e-08 3.40059e-09 
-2.42129e-08 -4.49529e-09 1.42197e-08 
-1.02253e-08 1.26029e-08 9.20454e-09 
0 0 0 
0 0 0 
2.97563e-08 6.89176e-08 -1.98068e-08 
0 0 0 
0 0 0 
2.99295e-08 -4.06027e-08 2.40959e-08 
0 0 0 
0 0 0 
0 0 0 
2.14152e-08 7.34288e-08 -3.70588e-08 
0 0 0 
-9.76874e-08 -9.47463e-08 -3.41351e-07 
0 0 0 
9.5578e-08 3.52828e-09 1.85957e-09 
0 0 0 
0 0 0 
0 0 0 
-9.54948e-09 -1.06073e-07 1.82913e-08 
0 0 0 
0 0 0 
3.44607e-08 9.20089e-08 -1.2567e-07 
0 0 0 
1.9997e-08 3.04817e-08 5.75399e-08 
8.04988e-08 -8.72616e-08 2.40345e-07 
0 0 0 
